Name,First Kills,MatchTeams,Date
Estrella,0,T1 VS RRQ,April 16th 2024
reazy,0,BBL VS TH,April 18th 2024
Kicks,0,VIT VS TH,April 10th 2024
Redgar,0,KC VS GX,April 3rd 2024
Crws,0,BLD VS TLN,April 7th 2024
Retla,0,BLD VS RRQ,April 14th 2024
SSeeS,0,GEN VS DFM,April 15th 2024
Benkai,0,GE VS TLN,April 15th 2024
Surf,0,GEN VS TLN,April 9th 2024
Elite,0,BBL VS TH,April 18th 2024
crashies,0,NRG VS FUR,April 14th 2024
benjyfishy,0,FNC VS TH,April 4th 2024
ShadoW,0,BBL VS KOI,April 11th 2024
